i,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],beta_0,beta_1,n_absent,n_present,n_subj,rho,sigma,tau_0,tau_1
category[T.present] Var,41648.246,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,618.348,86.043,7.186,0.0,449.706,786.99,650,30,150,150,2,0.35,175,80,15
category[T.present],69.492,146.929,0.473,0.636,-218.483,357.467,650,30,150,150,2,0.35,175,80,15
Group Var,14609.107,288.535,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,4148.087,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,42780.544,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,638.093,50.852,12.548,0.0,538.425,737.761,650,30,150,150,2,0.35,175,80,15
category[T.present],45.455,13.65,3.33,0.001,18.703,72.208,650,30,150,150,2,0.35,175,80,15
Group Var,4986.771,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-110.446,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,2.447,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,631.995,10.147,62.284,0.0,612.107,651.883,650,30,150,150,2,0.35,175,80,15
category[T.present],44.185,24.121,1.832,0.067,-3.092,91.461,650,30,150,150,2,0.35,175,80,15
Group Var,22.25,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,133.083,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,796.29,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,645.852,20.36,31.722,0.0,605.948,685.756,650,30,150,150,2,0.35,175,80,15
category[T.present],11.305,20.524,0.551,0.582,-28.921,51.53,650,30,150,150,2,0.35,175,80,15
Group Var,619.693,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,512.439,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,423.759,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,634.554,42.246,15.02,0.0,551.753,717.355,650,30,150,150,2,0.35,175,80,15
category[T.present],37.921,14.658,2.587,0.01,9.192,66.65,650,30,150,150,2,0.35,175,80,15
Group Var,3372.152,19.978,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-137.01,9.045,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,34.976,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,667.788,22.936,29.116,0.0,622.835,712.741,650,30,150,150,2,0.35,175,80,15
category[T.present],35.924,14.256,2.52,0.012,7.983,63.864,650,30,150,150,2,0.35,175,80,15
Group Var,867.096,7.509,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-56.938,8.143,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,36.472,1.262,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,592.742,80.084,7.401,0.0,435.78,749.704,650,30,150,150,2,0.35,175,80,15
category[T.present],7.858,14.373,0.547,0.585,-20.312,36.028,650,30,150,150,2,0.35,175,80,15
Group Var,12635.493,418.932,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,618.855,385.441,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,30.314,38.608,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,669.705,40.301,16.618,0.0,590.717,748.693,650,30,150,150,2,0.35,175,80,15
category[T.present],28.456,16.419,1.733,0.083,-3.724,60.636,650,30,150,150,2,0.35,175,80,15
Group Var,3023.68,16.411,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-140.462,8.604,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,89.898,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,590.175,38.976,15.142,0.0,513.784,666.567,650,30,150,150,2,0.35,175,80,15
category[T.present],9.447,20.296,0.465,0.642,-30.333,49.228,650,30,150,150,2,0.35,175,80,15
Group Var,2825.437,14.977,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-936.376,6.611,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,398.221,4.623,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,629.116,12.908,48.74,0.0,603.818,654.415,650,30,150,150,2,0.35,175,80,15
category[T.present],24.602,16.912,1.455,0.146,-8.546,57.749,650,30,150,150,2,0.35,175,80,15
Group Var,140.143,1.506,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,59.729,1.369,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,185.907,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,643.934,35.717,18.029,0.0,573.93,713.938,650,30,150,150,2,0.35,175,80,15
category[T.present],1.628,25.295,0.064,0.949,-47.949,51.206,650,30,150,150,2,0.35,175,80,15
Group Var,2350.385,16.528,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-1434.541,13.806,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,877.614,12.535,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,686.558,92.233,7.444,0.0,505.785,867.332,650,30,150,150,2,0.35,175,80,15
category[T.present],22.54,93.115,0.242,0.809,-159.961,205.041,650,30,150,150,2,0.35,175,80,15
Group Var,16830.045,119.018,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,4312.32,202.982,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,16972.774,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,674.45,72.353,9.322,0.0,532.642,816.259,650,30,150,150,2,0.35,175,80,15
category[T.present],22.695,150.711,0.151,0.88,-272.694,318.084,650,30,150,150,2,0.35,175,80,15
Group Var,10266.433,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-2644.448,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,45020.979,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,555.152,19.189,28.931,0.0,517.543,592.762,650,30,150,150,2,0.35,175,80,15
category[T.present],18.046,17.542,1.029,0.304,-16.335,52.427,650,30,150,150,2,0.35,175,80,15
Group Var,532.23,5.576,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-324.863,8.21,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,207.043,8.939,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,539.263,88.064,6.124,0.0,366.66,711.865,650,30,150,150,2,0.35,175,80,15
category[T.present],17.649,76.084,0.232,0.817,-131.473,166.771,650,30,150,150,2,0.35,175,80,15
Group Var,15315.722,106.727,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1699.842,162.089,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,11187.898,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,648.249,85.074,7.62,0.0,481.507,814.991,650,30,150,150,2,0.35,175,80,15
category[T.present],29.189,85.207,0.343,0.732,-137.815,196.192,650,30,150,150,2,0.35,175,80,15
Group Var,14268.728,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-27.281,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,14107.724,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,642.522,35.296,18.204,0.0,573.343,711.702,650,30,150,150,2,0.35,175,80,15
category[T.present],21.072,32.535,0.648,0.517,-42.696,84.841,650,30,150,150,2,0.35,175,80,15
Group Var,2284.103,19.522,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-1971.584,30.374,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1702.004,44.67,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,666.079,23.343,28.534,0.0,620.327,711.831,650,30,150,150,2,0.35,175,80,15
category[T.present],48.002,14.695,3.267,0.001,19.2,76.803,650,30,150,150,2,0.35,175,80,15
Group Var,899.098,7.77,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-7.28,8.365,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,50.428,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,637.455,58.392,10.917,0.0,523.01,751.901,650,30,150,150,2,0.35,175,80,15
category[T.present],18.634,13.946,1.336,0.181,-8.7,45.968,650,30,150,150,2,0.35,175,80,15
Group Var,6626.984,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-174.903,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,4.616,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,667.673,81.792,8.163,0.0,507.364,827.981,650,30,150,150,2,0.35,175,80,15
category[T.present],39.56,41.768,0.947,0.344,-42.303,121.424,650,30,150,150,2,0.35,175,80,15
Group Var,13173.24,81.965,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,6337.618,47.74,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,3076.072,30.989,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,604.634,205.676,2.94,0.003,201.518,1007.751,650,30,150,150,2,0.35,175,80,15
category[T.present],8.175,83.259,0.098,0.922,-155.009,171.359,650,30,150,150,2,0.35,175,80,15
Group Var,84413.357,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,3113.433,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,13480.882,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,565.812,10.559,53.585,0.0,545.117,586.508,650,30,150,150,2,0.35,175,80,15
category[T.present],8.822,14.935,0.591,0.555,-20.45,38.093,650,30,150,150,2,0.35,175,80,15
Group Var,0.109,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-0.173,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,0.335,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,682.827,45.883,14.882,0.0,592.898,772.756,650,30,150,150,2,0.35,175,80,15
category[T.present],37.963,17.237,2.202,0.028,4.18,71.746,650,30,150,150,2,0.35,175,80,15
Group Var,3998.055,21.782,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-724.369,10.153,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,169.339,2.199,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,688.571,9.947,69.227,0.0,669.076,708.066,650,30,150,150,2,0.35,175,80,15
category[T.present],34.228,14.067,2.433,0.015,6.657,61.8,650,30,150,150,2,0.35,175,80,15
Group Var,0.015,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-0.028,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,0.075,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,639.024,41.588,15.366,0.0,557.513,720.536,650,30,150,150,2,0.35,175,80,15
category[T.present],-8.539,16.493,-0.518,0.605,-40.864,23.787,650,30,150,150,2,0.35,175,80,15
Group Var,3239.882,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,584.669,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,105.511,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,700.807,83.563,8.387,0.0,537.026,864.588,650,30,150,150,2,0.35,175,80,15
category[T.present],42.337,79.88,0.53,0.596,-114.225,198.899,650,30,150,150,2,0.35,175,80,15
Group Var,13765.798,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,790.449,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,12361.914,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,584.676,79.14,7.388,0.0,429.565,739.787,650,30,150,150,2,0.35,175,80,15
category[T.present],8.919,80.899,0.11,0.912,-149.641,167.478,650,30,150,150,2,0.35,175,80,15
Group Var,12345.051,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,193.322,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,12727.071,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,629.445,28.513,22.076,0.0,573.56,685.329,650,30,150,150,2,0.35,175,80,15
category[T.present],-1.478,19.535,-0.076,0.94,-39.766,36.81,650,30,150,150,2,0.35,175,80,15
Group Var,1434.431,11.226,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-726.632,10.419,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,380.122,8.968,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,594.454,22.727,26.156,0.0,549.91,638.999,650,30,150,150,2,0.35,175,80,15
category[T.present],27.143,18.112,1.499,0.134,-8.355,62.641,650,30,150,150,2,0.35,175,80,15
Group Var,835.943,6.344,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-240.721,6.378,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,261.835,4.496,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,651.901,10.047,64.887,0.0,632.21,671.592,650,30,150,150,2,0.35,175,80,15
category[T.present],24.38,17.033,1.431,0.152,-9.003,57.764,650,30,150,150,2,0.35,175,80,15
Group Var,0.802,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-0.328,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,178.078,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,689.467,28.203,24.446,0.0,634.189,744.744,650,30,150,150,2,0.35,175,80,15
category[T.present],51.121,19.677,2.598,0.009,12.554,89.688,650,30,150,150,2,0.35,175,80,15
Group Var,1406.3,10.281,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,542.275,9.605,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,405.301,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,530.088,11.153,47.531,0.0,508.23,551.947,650,30,150,150,2,0.35,175,80,15
category[T.present],6.042,14.441,0.418,0.676,-22.262,34.346,650,30,150,150,2,0.35,175,80,15
Group Var,48.752,37.258,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,28.695,19.381,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,17.074,35.535,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,617.43,16.832,36.682,0.0,584.44,650.42,650,30,150,150,2,0.35,175,80,15
category[T.present],51.949,16.496,3.149,0.002,19.617,84.281,650,30,150,150,2,0.35,175,80,15
Group Var,360.23,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,217.611,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,131.457,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,584.757,89.344,6.545,0.0,409.646,759.868,650,30,150,150,2,0.35,175,80,15
category[T.present],59.406,16.914,3.512,0.0,26.256,92.557,650,30,150,150,2,0.35,175,80,15
Group Var,15780.566,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1794.118,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,203.976,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,605.307,83.727,7.23,0.0,441.205,769.409,650,30,150,150,2,0.35,175,80,15
category[T.present],27.825,80.313,0.346,0.729,-129.586,185.235,650,30,150,150,2,0.35,175,80,15
Group Var,13823.741,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,612.693,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,12507.081,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,640.805,76.934,8.329,0.0,490.016,791.593,650,30,150,150,2,0.35,175,80,15
category[T.present],50.916,14.656,3.474,0.001,22.191,79.641,650,30,150,150,2,0.35,175,80,15
Group Var,11633.601,1579.106,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-496.86,1645.132,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,21.221,137.611,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,612.178,236.504,2.588,0.01,148.638,1075.718,650,30,150,150,2,0.35,175,80,15
category[T.present],17.778,94.49,0.188,0.851,-167.419,202.975,650,30,150,150,2,0.35,175,80,15
Group Var,111672.182,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,28674.267,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,17463.775,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,676.466,26.678,25.356,0.0,624.177,728.754,650,30,150,150,3,0.35,175,80,15
category[T.present],29.574,15.912,1.859,0.063,-1.613,60.761,650,30,150,150,3,0.35,175,80,15
Group Var,1935.899,8.763,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,-669.327,3.848,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,360.981,3.441,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,573.93,30.303,18.94,0.0,514.537,633.323,650,30,150,150,3,0.35,175,80,15
category[T.present],24.466,30.478,0.803,0.422,-35.271,84.202,650,30,150,150,3,0.35,175,80,15
Group Var,2544.485,,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,-86.416,,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,2366.014,,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,595.998,59.735,9.977,0.0,478.92,713.076,650,30,150,150,3,0.35,175,80,15
category[T.present],37.425,11.419,3.278,0.001,15.045,59.805,650,30,150,150,3,0.35,175,80,15
Group Var,10509.955,63.81,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,-130.211,13.488,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,1.613,,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,596.504,13.051,45.705,0.0,570.924,622.084,650,30,150,150,3,0.35,175,80,15
category[T.present],44.236,15.286,2.894,0.004,14.277,74.195,650,30,150,150,3,0.35,175,80,15
Group Var,311.393,1.701,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,92.46,,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,301.718,,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,647.333,43.189,14.988,0.0,562.683,731.982,650,30,150,150,3,0.35,175,80,15
category[T.present],29.825,15.121,1.972,0.049,0.188,59.462,650,30,150,150,3,0.35,175,80,15
Group Var,5390.774,31.94,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,-1214.406,9.753,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,275.699,3.907,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,527.847,27.46,19.222,0.0,474.026,581.669,650,30,150,150,3,0.35,175,80,15
category[T.present],40.672,13.759,2.956,0.003,13.706,67.639,650,30,150,150,3,0.35,175,80,15
Group Var,2060.03,13.052,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,567.653,7.259,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,163.57,2.087,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,546.372,32.199,16.969,0.0,483.263,609.48,650,30,150,150,3,0.35,175,80,15
category[T.present],40.636,11.768,3.453,0.001,17.57,63.701,650,30,150,150,3,0.35,175,80,15
Group Var,2912.323,19.127,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,-232.746,12.034,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,19.496,,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,638.412,46.72,13.665,0.0,546.842,729.982,650,30,150,150,3,0.35,175,80,15
category[T.present],43.172,18.868,2.288,0.022,6.191,80.152,650,30,150,150,3,0.35,175,80,15
Group Var,6328.745,36.126,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,-31.479,10.351,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,628.773,5.891,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,669.129,27.731,24.13,0.0,614.778,723.48,650,30,150,150,3,0.35,175,80,15
category[T.present],36.092,14.98,2.409,0.016,6.731,65.453,650,30,150,150,3,0.35,175,80,15
Group Var,2105.052,10.046,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,448.931,5.756,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,269.437,,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,694.188,28.908,24.014,0.0,637.53,750.847,650,30,150,150,3,0.35,175,80,15
category[T.present],42.681,13.186,3.237,0.001,16.838,68.525,650,30,150,150,3,0.35,175,80,15
Group Var,2307.312,10.912,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,245.016,4.824,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,122.242,,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,700.325,36.87,18.994,0.0,628.061,772.59,650,30,150,150,3,0.35,175,80,15
category[T.present],19.459,21.642,0.899,0.369,-22.958,61.876,650,30,150,150,3,0.35,175,80,15
Group Var,3885.531,24.039,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,-825.223,10.835,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,1019.59,8.28,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,636.509,16.934,37.587,0.0,603.318,669.699,650,30,150,150,3,0.35,175,80,15
category[T.present],29.03,14.51,2.001,0.045,0.591,57.468,650,30,150,150,3,0.35,175,80,15
Group Var,659.139,4.429,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,-385.967,4.025,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,229.247,,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,665.207,57.003,11.67,0.0,553.484,776.931,650,30,150,150,3,0.35,175,80,15
category[T.present],0.519,16.562,0.031,0.975,-31.943,32.98,650,30,150,150,3,0.35,175,80,15
Group Var,9543.547,55.737,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,-555.424,11.846,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,414.145,4.706,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,594.658,31.548,18.849,0.0,532.825,656.492,650,30,150,150,3,0.35,175,80,15
category[T.present],37.658,12.767,2.95,0.003,12.635,62.681,650,30,150,150,3,0.35,175,80,15
Group Var,2803.237,11.249,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,-28.869,5.219,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,123.712,,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,671.437,35.537,18.894,0.0,601.786,741.089,650,30,150,150,3,0.35,175,80,15
category[T.present],16.009,16.322,0.981,0.327,-15.982,48.0,650,30,150,150,3,0.35,175,80,15
Group Var,3592.681,17.346,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,-1193.701,9.505,,,,,650,30,150,150,3,0.35,175,80,15
category[T.present] Var,407.277,4.646,,,,,650,30,150,150,3,0.35,175,80,15
Intercept,630.193,68.728,9.169,0.0,495.488,764.898,650,30,150,150,3,0.35,175,80,15
category[T.present],24.047,15.56,1.545,0.122,-6.45,54.543,650,30,150,150,3,0.35,175,80,15
Group Var,13974.924,82.79,,,,,650,30,150,150,3,0.35,175,80,15
Group x category[T.present] Cov,473.025,13.287,,,,,650,30,150,150,3,0.35,175,80,15
